player,player_id,pos,PTS,AST,REB,STL,BLK,TOV,AST_TO,STOCKS,FIC,age,year
Draymond Green,203110,F,9.01,5.63,6.09,1.46,1.03,2.56,2.19921875,2.49,20.66,35.0,2025
Draymond Green,203110,F,8.54,5.23,5.89,0.89,0.74,2.86,1.828671328671329,1.63,18.43,35.0,2026
Jalen Green,1630224,G,21.01,3.44,4.6,0.87,0.33,2.48,1.3870967741935483,1.2,27.77,23.0,2025
Jalen Green,1630224,G,15.5,2.0,2.0,1.0,0.0,1.0,2.0,1.0,19.5,23.0,2026
Javonte Green,1629750,G,5.76,0.9,3.56,1.1,0.6,0.56,1.607142857142857,1.7,11.36,31.0,2025
Javonte Green,1629750,G,3.28,0.61,2.22,0.56,0.06,0.22,2.7727272727272725,0.62,6.51,31.0,2025
Javonte Green,1629750,G,5.1,0.82,3.21,0.96,0.46,0.47,1.7446808510638299,1.42,10.08,31.0,2025
Javonte Green,1629750,G,7.18,0.82,2.77,1.41,0.36,0.69,1.1884057971014492,1.77,11.85,32.0,2026
Jeff Green,201145,F,5.38,0.62,1.81,0.19,0.12,0.28,2.214285714285714,0.31,7.84,38.0,2025
Jeff Green,201145,F,2.13,0.13,0.53,0.0,0.07,0.07,1.857142857142857,0.07,2.79,39.0,2026
Josh Green,1630182,G,7.44,1.59,2.53,1.09,0.22,1.03,1.5436893203883495,1.31,11.84,24.0,2025
Josh Green,1630182,G,4.53,1.06,1.82,0.65,0.06,0.35,3.028571428571429,0.71,7.77,25.0,2026
Quentin Grimes,1629656,G,10.21,2.15,3.81,0.68,0.21,1.3,1.6538461538461537,0.89,15.76,25.0,2025
Quentin Grimes,1629656,G,21.86,4.54,5.18,1.5,0.43,2.86,1.5874125874125875,1.93,30.65,25.0,2025
Quentin Grimes,1629656,G,14.56,3.04,4.32,0.99,0.29,1.88,1.6170212765957448,1.28,21.32,25.0,2025
Quentin Grimes,1629656,G,14.03,3.76,3.89,1.0,0.49,2.11,1.7819905213270142,1.49,21.06,25.0,2026
Mouhamed Gueye,1631243,F,5.97,0.82,4.21,0.85,1.0,0.45,1.822222222222222,1.85,12.4,22.0,2025
Mouhamed Gueye,1631243,F,4.73,0.95,3.54,0.8,0.61,0.59,1.6101694915254237,1.41,10.04,23.0,2026
Rui Hachimura,1629060,F,13.14,1.41,5.0,0.76,0.44,0.83,1.6987951807228916,1.2,19.92,27.0,2025
Rui Hachimura,1629060,F,12.21,0.86,3.62,0.55,0.24,0.83,1.036144578313253,0.79,16.65,27.0,2026
Tyrese Haliburton,1630169,G,18.62,9.22,3.53,1.44,0.67,1.64,5.621951219512196,2.11,31.84,25.0,2025
PJ Hall,1641790,C,1.74,0.21,1.16,0.0,0.21,0.11,1.909090909090909,0.21,3.21,23.0,2025
PJ Hall,1641790,C,1.86,0.29,1.29,0.0,0.29,0.14,2.071428571428571,0.29,3.59,23.0,2026
PJ Hall,1641790,C,7.0,0.62,5.38,0.12,0.88,1.25,0.496,1.0,12.75,23.0,2026
PJ Hall,1641790,C,4.6,0.47,3.47,0.07,0.6,0.73,0.6438356164383562,0.67,8.48,23.0,2026
Tim Hardaway Jr.,203501,G,10.96,1.6,2.38,0.49,0.09,0.62,2.580645161290323,0.58,14.9,33.0,2025
Tim Hardaway Jr.,203501,G,13.82,1.4,2.38,0.5,0.1,0.4,3.4999999999999996,0.6,17.8,33.0,2026
James Harden,201935,G,22.81,8.7,5.77,1.49,0.7,4.32,2.0138888888888884,2.19,35.15,35.0,2025
James Harden,201935,G,25.65,8.0,4.78,1.3,0.32,3.54,2.2598870056497176,1.62,36.51,36.0,2026
Jaden Hardy,1630702,G,8.7,1.42,1.56,0.49,0.09,1.44,0.986111111111111,0.58,10.82,22.0,2025
Jaden Hardy,1630702,G,6.9,0.76,1.41,0.24,0.07,0.79,0.9620253164556962,0.31,8.59,23.0,2026
Elijah Harkless,1641989,G,3.2,0.8,2.1,1.0,0.1,0.3,2.666666666666667,1.1,6.9,25.0,2025
Elijah Harkless,1641989,G,2.43,0.71,0.86,0.57,0.0,0.43,1.6511627906976745,0.57,4.14,25.0,2026
Ron Harper Jr.,1631199,G,4.0,2.0,7.0,0.0,0.0,0.0,inf,0.0,13.0,25.0,2025
Ron Harper Jr.,1631199,G,2.0,1.0,0.75,0.25,0.5,0.0,inf,0.75,4.5,25.0,2026
Gary Harris,203914,G,3.02,0.62,1.33,0.54,0.25,0.35,1.7714285714285716,0.79,5.41,30.0,2025
Gary Harris,203914,G,2.74,1.0,1.48,0.58,0.16,0.42,2.380952380952381,0.74,5.54,31.0,2026
Tobias Harris,202699,F,13.73,2.22,5.92,1.01,0.78,1.16,1.9137931034482762,1.79,22.5,32.0,2025
Tobias Harris,202699,F,13.54,2.46,4.67,0.79,0.25,0.96,2.5625,1.04,20.75,33.0,2026
Josh Hart,1628404,G,13.65,5.88,9.57,1.55,0.35,2.05,2.8682926829268296,1.9,28.95,30.0,2025
Josh Hart,1628404,G,12.13,5.26,7.68,1.29,0.32,2.16,2.435185185185185,1.61,24.52,30.0,2026
Isaiah Hartenstein,1628392,C,11.18,3.84,10.72,0.82,1.09,1.68,2.2857142857142856,1.91,25.97,27.0,2025
Isaiah Hartenstein,1628392,C,11.21,2.96,10.38,1.12,0.75,2.08,1.423076923076923,1.87,24.34,27.0,2026
