player,player_id,pos,PTS,AST,REB,STL,BLK,TOV,AST_TO,STOCKS,FIC,age,year
Sam Hauser,1630573,F,8.52,0.9,3.15,0.58,0.18,0.32,2.8125,0.76,13.01,27.0,2025
Sam Hauser,1630573,F,8.0,1.28,3.56,0.59,0.31,0.56,2.2857142857142856,0.9,13.18,28.0,2026
Jordan Hawkins,1641722,G,10.79,1.18,2.82,0.54,0.41,1.04,1.1346153846153846,0.95,14.7,23.0,2025
Jordan Hawkins,1641722,G,4.36,0.73,1.73,0.15,0.21,0.61,1.1967213114754098,0.36,6.57,23.0,2026
Jaxson Hayes,1629637,C,6.84,1.04,4.8,0.55,0.91,0.77,1.3506493506493507,1.46,13.37,25.0,2025
Jaxson Hayes,1629637,C,6.34,0.88,4.0,0.38,0.56,0.53,1.660377358490566,0.94,11.63,25.0,2026
Killian Hayes,1630165,G,9.0,5.17,3.0,0.67,0.67,1.5,3.4466666666666668,1.34,17.01,23.0,2025
Scoot Henderson,1630703,G,12.68,5.08,3.0,1.03,0.2,2.68,1.8955223880597014,1.23,19.31,21.0,2025
Taylor Hendricks,1641707,F,4.67,0.67,5.0,1.67,1.33,0.67,1.0,3.0,12.67,21.0,2025
Taylor Hendricks,1641707,F,5.31,0.72,3.14,0.45,0.28,0.55,1.3090909090909089,0.73,9.35,22.0,2026
Tyler Herro,1629639,G,23.9,5.51,5.18,0.9,0.22,2.57,2.1439688715953307,1.12,33.14,25.0,2025
Tyler Herro,1629639,G,21.91,2.73,4.73,1.0,0.45,1.55,1.761290322580645,1.45,29.27,25.0,2026
Buddy Hield,1627741,G,11.12,1.63,3.22,0.84,0.28,1.11,1.4684684684684683,1.12,15.98,32.0,2025
Buddy Hield,1627741,G,7.2,1.37,2.43,0.8,0.09,1.03,1.3300970873786409,0.89,10.86,33.0,2026
Haywood Highsmith,1629312,F,6.46,1.51,3.41,0.92,0.5,0.73,2.068493150684932,1.42,12.07,28.0,2025
Aaron Holiday,1628988,G,5.48,1.34,1.26,0.31,0.18,0.6,2.2333333333333334,0.49,7.97,28.0,2025
Aaron Holiday,1628988,G,5.97,1.0,0.83,0.43,0.13,0.7,1.4285714285714286,0.56,7.66,29.0,2026
Jrue Holiday,201950,G,11.06,3.85,4.27,1.06,0.44,1.24,3.1048387096774195,1.5,19.44,35.0,2025
Jrue Holiday,201950,G,15.47,7.33,5.13,1.53,0.2,2.67,2.7453183520599254,1.73,26.99,35.0,2026
Ronald Holland II,1641842,F,6.44,1.01,2.69,0.6,0.21,0.89,1.1348314606741572,0.81,10.06,19.0,2025
Ronald Holland II,1641842,F,8.46,1.38,4.35,1.35,0.35,1.43,0.965034965034965,1.7,14.46,20.0,2026
Richaun Holmes,1626158,F,7.42,1.35,5.71,0.29,0.74,0.68,1.9852941176470589,1.03,14.83,31.0,2025
DaRon Holmes II,1641747,F,4.4,1.3,1.7,0.0,0.4,0.4,3.25,0.4,7.4,23.0,2026
Chet Holmgren,1631096,C,14.97,1.97,8.03,0.72,2.22,1.75,1.1257142857142857,2.94,26.16,23.0,2025
Chet Holmgren,1631096,C,17.86,1.56,8.42,0.61,1.92,1.72,0.9069767441860466,2.53,28.65,23.0,2026
Jalen Hood-Schifino,1641720,G,2.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5,3.0,22.0,2025
Jalen Hood-Schifino,1641720,G,7.85,2.77,2.0,0.38,0.46,1.31,2.114503816793893,0.84,12.15,22.0,2025
Jalen Hood-Schifino,1641720,G,7.07,2.47,1.8,0.33,0.47,1.2,2.0583333333333336,0.8,10.94,22.0,2025
Al Horford,201143,C,8.97,2.13,6.15,0.6,0.85,0.77,2.766233766233766,1.45,17.93,39.0,2025
Al Horford,201143,C,6.65,2.04,4.83,0.78,1.04,0.96,2.125,1.82,14.38,39.0,2026
Talen Horton-Tucker,1629659,G,6.53,1.43,1.72,0.36,0.19,0.69,2.072463768115942,0.55,9.54,24.0,2025
Caleb Houstan,1631216,G,4.12,0.6,1.29,0.38,0.1,0.22,2.727272727272727,0.48,6.27,22.0,2025
Caleb Houstan,1631216,G,2.22,0.22,0.56,0.11,0.11,0.44,0.5,0.22,2.78,22.0,2026
Jett Howard,1641724,G,4.45,0.73,1.17,0.22,0.18,0.6,1.2166666666666668,0.4,6.15,21.0,2025
Jett Howard,1641724,G,4.63,0.85,1.44,0.15,0.15,0.22,3.8636363636363633,0.3,7.0,22.0,2026
Kevin Huerter,1628989,G,7.86,1.72,2.79,0.84,0.37,0.86,2.0,1.21,12.72,26.0,2025
Kevin Huerter,1628989,G,13.19,3.15,3.27,1.15,0.27,1.15,2.739130434782609,1.42,19.88,26.0,2025
Kevin Huerter,1628989,G,9.87,2.26,2.97,0.96,0.33,0.97,2.3298969072164946,1.29,15.42,26.0,2025
Kevin Huerter,1628989,G,11.69,2.43,3.74,0.86,0.6,1.2,2.0250000000000004,1.46,18.12,27.0,2026
Jay Huff,1630643,C,6.86,0.59,2.02,0.25,0.88,0.53,1.1132075471698113,1.13,10.07,27.0,2025
Jay Huff,1630643,C,8.39,1.32,3.71,0.41,2.15,0.88,1.5,2.56,15.1,28.0,2026
Ariel Hukporti,1630574,C,1.92,0.44,2.04,0.04,0.6,0.84,0.5238095238095238,0.64,4.2,23.0,2025
Ariel Hukporti,1630574,C,1.63,0.63,2.74,0.19,0.59,0.52,1.2115384615384615,0.78,5.26,23.0,2026
De'Andre Hunter,1629631,F,18.97,1.54,3.92,0.84,0.14,1.59,0.9685534591194969,0.98,23.82,27.0,2025
De'Andre Hunter,1629631,F,14.3,1.3,4.19,0.7,0.3,0.85,1.5294117647058825,1.0,19.94,27.0,2025
De'Andre Hunter,1629631,F,17.0,1.44,4.03,0.78,0.2,1.28,1.125,0.98,22.17,27.0,2025
De'Andre Hunter,1629631,F,14.03,2.19,4.32,0.62,0.14,1.57,1.394904458598726,0.76,19.73,28.0,2026
Bones Hyland,1630538,G,7.2,1.4,1.2,0.9,0.2,1.2,1.1666666666666667,1.1,9.7,24.0,2025
Bones Hyland,1630538,G,1.25,1.0,0.25,0.0,0.0,0.25,4.0,0.0,2.25,24.0,2025
Bones Hyland,1630538,G,6.21,1.33,1.04,0.75,0.17,1.04,1.278846153846154,0.92,8.46,24.0,2025
Bones Hyland,1630538,G,6.88,2.53,1.41,0.53,0.22,0.78,3.243589743589743,0.75,10.79,25.0,2026
Oso Ighodaro,1642345,F,4.18,1.16,3.64,0.46,0.48,0.64,1.8124999999999998,0.94,9.28,22.0,2025
Oso Ighodaro,1642345,F,5.37,1.78,4.34,1.0,0.56,1.15,1.547826086956522,1.56,11.9,23.0,2026
Joe Ingles,204060,F,0.79,1.21,0.58,0.11,0.0,0.47,2.5744680851063833,0.11,2.22,37.0,2025
Joe Ingles,204060,F,0.54,0.85,0.38,0.46,0.0,0.38,2.236842105263158,0.46,1.85,38.0,2026
Brandon Ingram,1627742,F,22.22,5.17,5.56,0.89,0.61,3.83,1.349869451697128,1.5,30.62,27.0,2025
Brandon Ingram,1627742,F,21.88,3.72,6.05,0.75,0.72,2.75,1.3527272727272728,1.47,30.37,28.0,2026
Harrison Ingram,1631127,F,0.8,0.6,1.8,0.6,0.0,0.2,2.9999999999999996,0.6,3.6,22.0,2025
Harrison Ingram,1631127,F,1.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.67,22.0,2026
Kyrie Irving,202681,G,24.68,4.62,4.8,1.32,0.46,2.22,2.081081081081081,1.78,33.66,33.0,2025
Jonathan Isaac,1628371,F,5.35,0.56,4.42,0.86,1.13,0.46,1.2173913043478262,1.99,11.86,27.0,2025
Jonathan Isaac,1628371,F,3.0,0.26,2.76,0.38,0.53,0.29,0.8965517241379312,0.91,6.64,28.0,2026
Jaden Ivey,1631093,G,17.6,3.97,4.13,0.93,0.37,2.97,1.3367003367003367,1.3,24.03,23.0,2025
Jaden Ivey,1631093,G,8.62,1.75,2.17,0.54,0.29,0.92,1.9021739130434783,0.83,12.45,23.0,2026
GG Jackson,1641713,F,7.21,1.0,3.17,0.41,0.17,1.07,0.9345794392523364,0.58,10.89,20.0,2025
GG Jackson,1641713,F,6.7,0.7,2.75,0.8,0.35,0.9,0.7777777777777777,1.15,10.4,21.0,2026
Isaiah Jackson,1630543,F,7.0,1.0,5.6,0.6,1.6,1.0,1.0,2.2,14.8,23.0,2025
Isaiah Jackson,1630543,F,7.31,0.83,5.9,0.72,0.83,1.14,0.7280701754385965,1.55,14.45,23.0,2026
Quenton Jackson,1631245,G,5.79,1.89,1.57,0.75,0.18,0.57,3.3157894736842106,0.93,9.61,26.0,2025
Quenton Jackson,1631245,G,7.33,1.94,2.0,0.61,0.17,1.11,1.7477477477477474,0.78,10.94,27.0,2026
Reggie Jackson,202704,G,4.39,1.45,1.35,0.52,0.1,0.55,2.6363636363636362,0.62,7.26,35.0,2025
Andre Jackson Jr.,1641748,G,3.43,1.24,2.72,0.51,0.21,0.87,1.4252873563218391,0.72,7.24,23.0,2025
