player,pos,PTS,AST,REB,STL,BLK,age,year
Sam Hauser,F,2.5,0.38,1.12,0.04,0.08,24.0,2022
Sam Hauser,F,6.4,0.89,2.55,0.36,0.26,25.0,2023
Sam Hauser,F,9.01,1.04,3.49,0.51,0.32,26.0,2024
Jordan Hawkins,G,7.82,1.04,2.21,0.28,0.1,22.0,2024
Jaxson Hayes,C,7.38,0.88,4.05,0.41,0.86,20.0,2020
Jaxson Hayes,C,7.48,0.58,4.28,0.42,0.63,21.0,2021
Jaxson Hayes,C,9.34,0.61,4.5,0.47,0.79,22.0,2022
Jaxson Hayes,C,4.96,0.72,2.81,0.43,0.4,23.0,2023
Jaxson Hayes,C,4.33,0.47,3.01,0.49,0.41,24.0,2024
Killian Hayes,G,6.77,5.31,2.65,1.04,0.38,19.0,2021
Killian Hayes,G,6.86,4.2,3.18,1.18,0.53,20.0,2022
Killian Hayes,G,10.34,6.18,2.91,1.37,0.37,21.0,2023
Killian Hayes,G,6.88,4.88,2.83,0.86,0.48,22.0,2024
Scoot Henderson,G,14.0,5.42,3.13,0.77,0.21,20.0,2024
Taylor Hendricks,F,7.3,0.8,4.62,0.7,0.75,20.0,2024
Tyler Herro,G,13.51,2.2,4.07,0.62,0.16,20.0,2020
Tyler Herro,G,15.09,3.41,4.96,0.65,0.31,21.0,2021
Tyler Herro,G,20.71,3.98,4.98,0.67,0.12,22.0,2022
Tyler Herro,G,20.1,4.18,5.37,0.76,0.24,23.0,2023
Tyler Herro,G,20.83,4.48,5.29,0.71,0.07,24.0,2024
Buddy Hield,G,8.56,1.35,2.91,0.32,0.12,24.0,2017
Buddy Hield,G,15.12,1.76,4.12,0.8,0.08,24.0,2017
Buddy Hield,G,10.56,1.48,3.28,0.46,0.11,24.0,2017
Buddy Hield,G,13.49,1.94,3.84,1.06,0.28,25.0,2018
Buddy Hield,G,20.67,2.5,5.02,0.71,0.4,26.0,2019
Buddy Hield,G,19.19,2.96,4.56,0.92,0.24,27.0,2020
Buddy Hield,G,16.56,3.62,4.7,0.89,0.42,28.0,2021
Buddy Hield,G,14.4,1.91,4.02,0.87,0.27,29.0,2022
Buddy Hield,G,18.19,4.77,5.08,0.96,0.38,29.0,2022
Buddy Hield,G,15.62,2.83,4.36,0.9,0.31,29.0,2022
Buddy Hield,G,16.8,2.81,5.0,1.15,0.32,30.0,2023
Buddy Hield,G,11.98,2.67,3.21,0.83,0.6,31.0,2024
Buddy Hield,G,12.19,3.03,3.19,0.84,0.34,31.0,2024
Buddy Hield,G,12.06,2.81,3.2,0.83,0.5,31.0,2024
Haywood Highsmith,F,1.8,0.4,1.0,0.2,0.0,22.0,2019
Haywood Highsmith,F,2.26,0.32,1.37,0.11,0.16,25.0,2022
Haywood Highsmith,F,4.37,0.8,3.48,0.67,0.31,26.0,2023
Haywood Highsmith,F,6.14,1.06,3.18,0.8,0.45,27.0,2024
Aaron Holiday,G,5.88,1.74,1.34,0.42,0.26,22.0,2019
Aaron Holiday,G,9.5,3.41,2.36,0.83,0.24,23.0,2020
Aaron Holiday,G,7.2,1.86,1.35,0.7,0.2,24.0,2021
Aaron Holiday,G,6.12,1.9,1.63,0.59,0.22,25.0,2022
Aaron Holiday,G,6.77,3.41,2.5,0.82,0.0,25.0,2022
Aaron Holiday,G,6.35,2.43,1.94,0.67,0.14,25.0,2022
Aaron Holiday,G,3.92,1.41,1.17,0.59,0.19,26.0,2023
Aaron Holiday,G,6.59,1.79,1.58,0.54,0.08,27.0,2024
Jrue Holiday,G,14.8,6.85,3.38,1.58,0.57,25.0,2015
Jrue Holiday,G,16.75,6.02,3.0,1.35,0.34,26.0,2016
Jrue Holiday,G,15.36,7.28,3.94,1.49,0.66,27.0,2017
Jrue Holiday,G,18.98,6.0,4.51,1.52,0.79,28.0,2018
Jrue Holiday,G,21.19,7.73,4.99,1.63,0.81,29.0,2019
Jrue Holiday,G,19.13,6.69,4.8,1.62,0.79,30.0,2020
Jrue Holiday,G,17.73,6.05,4.54,1.63,0.63,31.0,2021
Jrue Holiday,G,18.28,6.82,4.49,1.61,0.43,32.0,2022
Jrue Holiday,G,19.25,7.39,5.09,1.18,0.37,33.0,2023
Jrue Holiday,G,12.46,4.83,5.41,0.88,0.77,34.0,2024
Richaun Holmes,F,5.63,0.65,2.65,0.37,0.78,22.0,2016
Richaun Holmes,F,9.81,1.02,5.46,0.74,0.96,23.0,2017
Richaun Holmes,F,6.48,1.27,4.4,0.42,0.6,24.0,2018
Richaun Holmes,F,8.17,0.86,4.73,0.6,1.13,25.0,2019
Richaun Holmes,F,12.25,0.95,8.14,0.93,1.27,26.0,2020
Richaun Holmes,F,14.25,1.66,8.26,0.64,1.57,27.0,2021
Richaun Holmes,F,10.4,1.07,7.04,0.38,0.91,28.0,2022
Richaun Holmes,F,3.1,0.21,1.9,0.07,0.26,29.0,2023
Richaun Holmes,F,3.39,0.65,3.39,0.13,0.39,30.0,2024
Richaun Holmes,F,7.12,0.59,6.12,0.47,0.59,30.0,2024
Richaun Holmes,F,4.97,0.62,4.55,0.28,0.48,30.0,2024
Chet Holmgren,C,16.55,2.44,7.9,0.65,2.32,22.0,2024
Jalen Hood-Schifino,G,1.62,0.38,0.62,0.14,0.1,21.0,2024
Al Horford,C,15.21,3.21,7.16,0.89,1.29,29.0,2015
Al Horford,C,15.23,3.21,7.27,0.83,1.48,30.0,2016
Al Horford,C,14.0,4.96,6.84,0.76,1.26,31.0,2017
Al Horford,C,12.88,4.71,7.38,0.6,1.08,32.0,2018
Al Horford,C,13.6,4.16,6.74,0.87,1.26,33.0,2019
Al Horford,C,11.91,4.03,6.81,0.78,0.91,34.0,2020
Al Horford,C,14.21,3.36,6.71,0.89,0.93,35.0,2021
Al Horford,C,10.16,3.36,7.68,0.71,1.33,36.0,2022
Al Horford,C,9.78,3.0,6.19,0.48,0.97,37.0,2023
Al Horford,C,8.65,2.58,6.35,0.58,0.95,38.0,2024
Talen Horton-Tucker,G,5.67,1.0,1.17,1.33,0.17,19.0,2020
Talen Horton-Tucker,G,9.0,2.78,2.6,0.97,0.32,20.0,2021
Talen Horton-Tucker,G,9.95,2.65,3.22,0.98,0.48,21.0,2022
Talen Horton-Tucker,G,10.74,3.78,3.23,0.63,0.45,22.0,2023
Talen Horton-Tucker,G,10.12,3.47,2.37,0.88,0.37,23.0,2024
Caleb Houstan,G,3.78,0.59,1.94,0.24,0.14,20.0,2023
Caleb Houstan,G,4.29,0.49,1.42,0.25,0.07,21.0,2024
Jett Howard,G,1.61,0.33,0.39,0.11,0.11,20.0,2024
Kevin Huerter,G,9.69,2.85,3.27,0.87,0.33,20.0,2019
Kevin Huerter,G,12.21,3.8,4.07,0.91,0.48,21.0,2020
Kevin Huerter,G,11.91,3.49,3.35,1.19,0.26,22.0,2021
Kevin Huerter,G,12.05,2.74,3.43,0.74,0.35,23.0,2022
Kevin Huerter,G,15.2,2.95,3.35,1.07,0.32,24.0,2023
Kevin Huerter,G,10.23,2.59,3.5,0.7,0.36,25.0,2024
Jay Huff,C,0.0,0.25,1.0,0.25,0.25,24.0,2022
Jay Huff,C,7.29,1.43,3.0,0.43,0.57,25.0,2023
Jay Huff,C,1.15,0.1,0.55,0.1,0.15,26.0,2024
De'Andre Hunter,F,12.35,1.78,4.54,0.7,0.29,22.0,2020
De'Andre Hunter,F,14.96,1.91,4.78,0.83,0.52,23.0,2021
De'Andre Hunter,F,13.38,1.28,3.32,0.68,0.4,24.0,2022
De'Andre Hunter,F,15.36,1.4,4.24,0.52,0.25,25.0,2023
De'Andre Hunter,F,15.63,1.53,3.89,0.7,0.28,26.0,2024
Bones Hyland,G,10.12,2.77,2.72,0.59,0.29,21.0,2022
Bones Hyland,G,12.1,2.98,2.05,0.67,0.31,22.0,2023
Bones Hyland,G,10.79,3.36,3.5,0.79,0.14,22.0,2023
Bones Hyland,G,11.77,3.07,2.41,0.7,0.27,22.0,2023
Bones Hyland,G,6.92,2.51,1.49,0.7,0.11,23.0,2024
Joe Ingles,F,5.01,2.3,2.22,0.91,0.13,27.0,2015
Joe Ingles,F,4.22,1.19,1.86,0.68,0.05,28.0,2016
Joe Ingles,F,7.09,2.74,3.18,1.17,0.1,29.0,2017
Joe Ingles,F,11.46,4.78,4.2,1.1,0.24,30.0,2018
Joe Ingles,F,12.12,5.72,4.02,1.2,0.24,31.0,2019
Joe Ingles,F,9.82,5.18,3.86,0.9,0.15,32.0,2020
Joe Ingles,F,12.07,4.75,3.64,0.67,0.18,33.0,2021
Joe Ingles,F,7.22,3.51,2.91,0.51,0.11,34.0,2022
Joe Ingles,F,6.89,3.26,2.78,0.72,0.13,35.0,2023
Joe Ingles,F,4.35,2.99,2.09,0.63,0.07,36.0,2024
Brandon Ingram,F,9.37,2.1,4.0,0.63,0.46,19.0,2017
Brandon Ingram,F,16.08,3.9,5.32,0.76,0.73,20.0,2018
Brandon Ingram,F,18.27,2.96,5.13,0.54,0.6,21.0,2019
Brandon Ingram,F,23.82,4.18,6.13,0.98,0.61,22.0,2020
Brandon Ingram,F,23.77,4.85,4.9,0.69,0.59,23.0,2021
Brandon Ingram,F,22.65,5.58,5.82,0.62,0.47,24.0,2022
