player,pos,PTS,AST,REB,STL,BLK,TOV,AST_TO,STOCKS,FIC,age,year
Derrick White,G,15.16,5.16,4.25,1.01,1.19,1.53,3.372549019607843,2.2,25.24,29.0,2024
Dariq Whitehead,G,1.5,1.5,2.0,0.0,0.5,0.0,inf,0.5,5.5,19.0,2024
Cam Whitmore,F,12.32,0.7,3.83,0.64,0.36,0.98,0.7142857142857143,1.0,16.87,19.0,2024
Aaron Wiggins,G,8.32,1.36,3.56,0.6,0.2,1.08,1.2592592592592593,0.8,12.96,23.0,2022
Aaron Wiggins,G,6.84,1.14,3.0,0.56,0.21,0.79,1.4430379746835442,0.77,10.96,24.0,2023
Aaron Wiggins,G,6.95,1.1,2.38,0.72,0.24,0.72,1.527777777777778,0.96,10.67,25.0,2024
Andrew Wiggins,F,16.91,2.07,4.56,1.05,0.61,2.16,0.9583333333333331,1.66,23.04,20.0,2015
Andrew Wiggins,F,20.68,2.02,3.59,0.96,0.57,2.25,0.8977777777777778,1.53,25.57,21.0,2016
Andrew Wiggins,F,23.57,2.3,4.0,1.0,0.37,2.28,1.0087719298245614,1.37,28.96,22.0,2017
Andrew Wiggins,F,17.71,1.95,4.37,1.11,0.62,1.68,1.1607142857142858,1.73,24.08,23.0,2018
Andrew Wiggins,F,18.1,2.52,4.82,0.96,0.66,1.89,1.3333333333333335,1.62,25.17,24.0,2019
Andrew Wiggins,F,22.43,3.69,5.21,0.69,0.86,2.55,1.447058823529412,1.55,30.33,25.0,2020
Andrew Wiggins,F,19.42,3.58,4.58,1.33,1.42,2.08,1.721153846153846,2.75,28.25,25.0,2020
Andrew Wiggins,F,21.76,3.67,5.07,0.83,0.98,2.44,1.5040983606557377,1.81,29.87,25.0,2020
Andrew Wiggins,F,18.59,2.35,4.89,0.94,0.99,1.77,1.3276836158192091,1.93,25.99,26.0,2021
Andrew Wiggins,F,17.21,2.21,4.45,1.04,0.7,1.52,1.4539473684210527,1.74,24.09,27.0,2022
Andrew Wiggins,F,17.11,2.3,5.03,1.22,0.76,1.3,1.769230769230769,1.98,25.12,28.0,2023
Andrew Wiggins,F,13.23,1.68,4.52,0.59,0.58,1.23,1.3658536585365852,1.17,19.37,29.0,2024
Alondes Williams,G,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,-1.0,24.0,2023
Alondes Williams,G,0.71,0.0,0.14,0.0,0.14,0.29,0.0,0.14,0.7,25.0,2024
Brandon Williams,G,12.88,3.92,3.08,1.0,0.42,2.42,1.6198347107438016,1.42,18.88,22.0,2022
Brandon Williams,G,3.18,1.0,0.76,0.06,0.06,0.41,2.4390243902439024,0.12,4.65,24.0,2024
Grant Williams,F,3.43,0.99,2.58,0.43,0.52,0.72,1.375,0.95,7.23,21.0,2020
Grant Williams,F,4.67,1.02,2.83,0.51,0.38,0.89,1.146067415730337,0.89,8.52,22.0,2021
Grant Williams,F,7.82,1.01,3.56,0.49,0.74,0.81,1.2469135802469136,1.23,12.81,23.0,2022
Grant Williams,F,8.11,1.66,4.59,0.52,0.39,1.04,1.596153846153846,0.91,14.23,24.0,2023
Grant Williams,F,8.13,1.72,3.6,0.51,0.57,1.13,1.5221238938053099,1.08,13.4,25.0,2024
Grant Williams,F,13.86,3.21,5.14,0.69,0.41,1.93,1.6632124352331608,1.1,21.38,25.0,2024
Grant Williams,F,10.32,2.29,4.18,0.58,0.51,1.43,1.6013986013986015,1.09,16.45,25.0,2024
Jalen Williams,G,14.08,3.31,4.49,1.37,0.47,1.64,2.0182926829268295,1.84,22.08,22.0,2023
Jalen Williams,G,19.08,4.54,3.97,1.13,0.63,1.73,2.6242774566473988,1.76,27.62,23.0,2024
Jaylin Williams,F,5.88,1.55,4.92,0.57,0.24,0.76,2.0394736842105265,0.81,12.4,21.0,2023
Jaylin Williams,F,4.0,1.59,3.39,0.41,0.39,0.49,3.2448979591836737,0.8,9.29,22.0,2024
Kenrich Williams,G,6.07,1.8,4.76,0.98,0.41,0.78,2.3076923076923075,1.39,13.24,24.0,2019
Kenrich Williams,G,3.49,1.46,4.77,0.69,0.54,0.56,2.6071428571428568,1.23,10.39,25.0,2020
Kenrich Williams,G,7.97,2.3,4.14,0.83,0.26,1.15,2.0,1.09,14.35,26.0,2021
Kenrich Williams,G,7.41,2.2,4.49,0.9,0.2,0.94,2.340425531914894,1.1,14.26,27.0,2022
Kenrich Williams,G,8.02,1.98,4.92,0.85,0.26,0.6,3.3000000000000003,1.11,15.43,28.0,2023
Kenrich Williams,G,4.71,1.35,3.03,0.55,0.13,0.46,2.9347826086956523,0.68,9.31,29.0,2024
Mark Williams,C,9.0,0.42,7.07,0.65,1.05,0.93,0.4516129032258064,1.7,17.26,21.0,2023
Mark Williams,C,12.74,1.16,9.68,0.84,1.05,0.89,1.3033707865168538,1.89,24.58,22.0,2024
Nate Williams,G,10.6,2.0,3.0,0.6,0.4,0.8,2.5,1.0,15.8,24.0,2023
Nate Williams,G,2.86,0.32,1.05,0.18,0.05,0.18,1.777777777777778,0.23,4.28,25.0,2024
Patrick Williams,F,9.23,1.39,4.61,0.9,0.65,1.38,1.0072463768115942,1.55,15.4,19.0,2021
Patrick Williams,F,9.0,0.88,4.06,0.53,0.53,0.94,0.9361702127659575,1.06,14.06,20.0,2022
Patrick Williams,F,10.16,1.22,3.99,0.88,0.85,1.23,0.991869918699187,1.73,15.87,21.0,2023
Patrick Williams,F,9.98,1.53,3.86,0.93,0.77,1.33,1.150375939849624,1.7,15.74,22.0,2024
Ziaire Williams,F,8.08,1.05,2.08,0.56,0.19,0.66,1.5909090909090908,0.75,11.3,20.0,2022
Ziaire Williams,F,5.68,0.95,2.14,0.38,0.16,1.0,0.95,0.54,8.31,21.0,2023
Ziaire Williams,F,8.24,1.47,3.53,0.71,0.18,1.29,1.1395348837209303,0.89,12.84,22.0,2024
Robert Williams III,C,2.53,0.22,2.53,0.28,1.25,0.31,0.7096774193548387,1.53,6.5,21.0,2019
Robert Williams III,C,5.17,0.93,4.41,0.76,1.21,0.72,1.2916666666666667,1.97,11.76,22.0,2020
Robert Williams III,C,8.02,1.81,6.88,0.83,1.75,1.0,1.81,2.58,18.29,23.0,2021
Robert Williams III,C,9.95,1.98,9.64,0.92,2.2,1.03,1.9223300970873787,3.12,23.66,24.0,2022
Robert Williams III,C,7.97,1.43,8.34,0.63,1.37,0.97,1.4742268041237112,2.0,18.77,25.0,2023
Robert Williams III,C,6.83,0.83,6.33,1.17,1.17,1.17,0.7094017094017094,2.34,15.16,26.0,2024
Vince Williams Jr.,G,2.0,0.27,1.0,0.4,0.13,0.33,0.8181818181818182,0.53,3.47,22.0,2023
Vince Williams Jr.,G,10.02,3.37,5.58,0.9,0.65,1.77,1.9039548022598871,1.55,18.75,23.0,2024
Zion Williamson,F,22.5,2.08,6.25,0.67,0.38,2.46,0.8455284552845529,1.05,29.42,19.0,2020
Zion Williamson,F,27.0,3.7,7.23,0.93,0.64,2.74,1.3503649635036497,1.57,36.76,20.0,2021
Zion Williamson,F,26.0,4.59,6.97,1.1,0.55,3.41,1.346041055718475,1.65,35.8,22.0,2023
Zion Williamson,F,22.87,5.03,5.8,1.1,0.67,2.76,1.8224637681159424,1.77,32.71,23.0,2024
Jalen Wilson,F,4.98,1.05,3.05,0.26,0.09,0.44,2.3863636363636362,0.35,8.99,23.0,2024
James Wiseman,C,11.49,0.67,5.79,0.28,0.92,1.54,0.4350649350649351,1.2,17.61,20.0,2021
James Wiseman,C,6.9,0.67,3.48,0.14,0.33,0.67,1.0,0.47,10.85,22.0,2023
James Wiseman,C,12.71,0.67,8.08,0.17,0.83,1.54,0.4350649350649351,1.0,20.92,22.0,2023
James Wiseman,C,10.0,0.67,5.93,0.16,0.6,1.13,0.592920353982301,0.76,16.23,22.0,2023
James Wiseman,C,7.08,0.86,5.33,0.19,0.62,1.05,0.819047619047619,0.81,13.03,23.0,2024
Isaiah Wong,G,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,2024
Delon Wright,G,3.81,1.15,1.37,0.3,0.11,0.59,1.9491525423728813,0.41,6.15,24.0,2016
Delon Wright,G,5.56,2.11,1.78,1.0,0.41,0.93,2.268817204301075,1.41,9.93,25.0,2017
Delon Wright,G,8.04,2.9,2.87,1.04,0.48,1.13,2.566371681415929,1.52,14.2,26.0,2018
Delon Wright,G,6.88,2.24,2.55,0.94,0.31,0.76,2.947368421052632,1.25,12.16,27.0,2019
Delon Wright,G,12.15,5.31,5.42,1.62,0.58,1.54,3.4480519480519476,2.2,23.54,27.0,2019
Delon Wright,G,8.71,3.31,3.55,1.17,0.4,1.03,3.2135922330097086,1.57,16.11,27.0,2019
Delon Wright,G,6.9,3.34,3.84,1.16,0.3,1.0,3.34,1.46,14.54,28.0,2020
Delon Wright,G,10.39,5.03,4.56,1.61,0.53,1.33,3.781954887218045,2.14,20.79,29.0,2021
