player,pos,PTS,AST,REB,STL,BLK,age,year
Kevin Porter Jr.,G,9.96,2.18,3.24,0.92,0.28,20.0,2020
Kevin Porter Jr.,G,16.58,6.31,3.81,0.73,0.31,21.0,2021
Kevin Porter Jr.,G,15.56,6.16,4.38,1.13,0.36,22.0,2022
Kevin Porter Jr.,G,19.15,5.73,5.32,1.39,0.29,23.0,2023
Michael Porter Jr.,F,9.31,0.84,4.71,0.49,0.45,22.0,2020
Michael Porter Jr.,F,19.05,1.15,7.3,0.66,0.89,23.0,2021
Michael Porter Jr.,F,9.89,1.89,6.56,1.11,0.22,24.0,2022
Michael Porter Jr.,F,17.42,1.05,5.5,0.6,0.47,25.0,2023
Michael Porter Jr.,F,16.74,1.51,6.98,0.52,0.65,26.0,2024
Bobby Portis,F,7.03,0.84,5.44,0.4,0.35,21.0,2016
Bobby Portis,F,6.83,0.55,4.62,0.25,0.17,22.0,2017
Bobby Portis,F,13.21,1.68,6.82,0.68,0.32,23.0,2018
Bobby Portis,F,14.09,1.32,7.32,0.5,0.36,24.0,2019
Bobby Portis,F,14.29,1.54,8.64,0.86,0.43,24.0,2019
Bobby Portis,F,14.2,1.44,8.06,0.7,0.4,24.0,2019
Bobby Portis,F,10.12,1.48,5.12,0.48,0.27,25.0,2020
Bobby Portis,F,11.42,1.08,7.06,0.79,0.39,26.0,2021
Bobby Portis,F,14.61,1.19,9.12,0.74,0.71,27.0,2022
Bobby Portis,F,14.1,1.5,9.6,0.41,0.23,28.0,2023
Bobby Portis,F,13.78,1.27,7.4,0.83,0.41,29.0,2024
Kristaps Porziņģis,F,14.28,1.31,7.31,0.74,1.86,20.0,2016
Kristaps Porziņģis,F,18.12,1.47,7.2,0.71,1.95,21.0,2017
Kristaps Porziņģis,F,22.67,1.19,6.58,0.75,2.4,22.0,2018
Kristaps Porziņģis,F,20.42,1.79,9.47,0.72,2.02,24.0,2020
Kristaps Porziņģis,F,20.12,1.58,8.86,0.47,1.35,25.0,2021
Kristaps Porziņģis,F,19.24,2.03,7.68,0.74,1.74,26.0,2022
Kristaps Porziņģis,F,22.12,2.94,8.82,0.71,1.47,26.0,2022
Kristaps Porziņģis,F,20.2,2.33,8.06,0.73,1.65,26.0,2022
Kristaps Porziņģis,F,23.15,2.68,8.4,0.89,1.54,27.0,2023
Kristaps Porziņģis,F,20.09,2.02,7.18,0.74,1.95,28.0,2024
Micah Potter,C,4.0,0.0,3.0,0.33,0.33,24.0,2022
Micah Potter,C,3.43,0.57,2.29,0.14,0.0,25.0,2023
Micah Potter,C,3.31,0.38,2.69,0.25,0.38,26.0,2024
Dwight Powell,F,1.8,0.0,0.2,0.4,0.0,23.0,2015
Dwight Powell,F,3.38,0.38,2.04,0.29,0.25,23.0,2015
Dwight Powell,F,3.1,0.31,1.72,0.31,0.21,23.0,2015
Dwight Powell,F,5.78,0.64,3.96,0.52,0.35,24.0,2016
Dwight Powell,F,6.7,0.64,3.97,0.79,0.51,25.0,2017
Dwight Powell,F,8.49,1.15,5.62,0.85,0.41,26.0,2018
Dwight Powell,F,10.58,1.45,5.34,0.57,0.65,27.0,2019
Dwight Powell,F,9.4,1.48,5.68,0.85,0.55,28.0,2020
Dwight Powell,F,5.9,1.09,4.03,0.62,0.52,29.0,2021
Dwight Powell,F,8.74,1.18,4.93,0.45,0.48,30.0,2022
Dwight Powell,F,6.66,0.91,4.13,0.63,0.34,31.0,2023
Dwight Powell,F,3.3,1.33,3.4,0.41,0.32,32.0,2024
Norman Powell,G,5.57,0.96,2.27,0.59,0.2,23.0,2016
Norman Powell,G,8.37,1.08,2.22,0.68,0.18,24.0,2017
Norman Powell,G,5.5,1.27,1.7,0.53,0.23,25.0,2018
Norman Powell,G,8.6,1.52,2.32,0.65,0.22,26.0,2019
Norman Powell,G,15.96,1.75,3.65,1.15,0.4,27.0,2020
Norman Powell,G,19.6,1.83,3.0,1.12,0.19,28.0,2021
Norman Powell,G,17.04,1.93,3.3,1.3,0.37,28.0,2021
Norman Powell,G,18.59,1.87,3.12,1.19,0.26,28.0,2021
Norman Powell,G,18.65,2.05,3.28,1.0,0.42,29.0,2022
Norman Powell,G,21.4,2.8,2.8,0.4,0.8,29.0,2022
Norman Powell,G,18.96,2.13,3.22,0.93,0.47,29.0,2022
Norman Powell,G,16.98,1.82,2.92,0.83,0.3,30.0,2023
Norman Powell,G,13.89,1.08,2.57,0.57,0.29,31.0,2024
Taurean Prince,F,5.68,0.93,2.66,0.73,0.46,23.0,2017
Taurean Prince,F,14.12,2.61,4.74,1.04,0.51,24.0,2018
Taurean Prince,F,13.49,2.15,3.62,0.96,0.35,25.0,2019
Taurean Prince,F,12.08,1.81,5.95,0.89,0.39,26.0,2020
Taurean Prince,F,8.08,0.58,2.83,0.67,0.67,27.0,2021
Taurean Prince,F,10.07,2.38,3.72,0.69,0.52,27.0,2021
Taurean Prince,F,9.49,1.85,3.46,0.68,0.56,27.0,2021
Taurean Prince,F,7.28,0.99,2.52,0.68,0.33,28.0,2022
Taurean Prince,F,9.13,1.56,2.44,0.52,0.28,29.0,2023
Taurean Prince,F,8.94,1.53,2.95,0.74,0.45,30.0,2024
Payton Pritchard,G,7.73,1.82,2.39,0.56,0.14,23.0,2021
Payton Pritchard,G,6.23,1.96,1.89,0.35,0.08,24.0,2022
Payton Pritchard,G,5.62,1.33,1.83,0.29,0.02,25.0,2023
Payton Pritchard,G,9.6,3.43,3.23,0.48,0.07,26.0,2024
Olivier-Maxence Prosper,F,3.02,0.55,1.98,0.18,0.1,21.0,2024
Trevelin Queen,G,4.3,0.4,1.6,0.5,0.1,25.0,2022
Trevelin Queen,G,3.0,0.86,2.43,0.29,0.71,26.0,2023
Trevelin Queen,G,2.86,1.29,1.43,0.5,0.36,27.0,2024
Neemias Queta,C,3.0,0.4,2.07,0.07,0.53,22.0,2022
Neemias Queta,C,2.4,0.2,2.2,0.0,0.4,23.0,2023
Neemias Queta,C,5.5,0.71,4.36,0.46,0.75,24.0,2024
Immanuel Quickley,G,11.42,1.98,2.14,0.47,0.19,22.0,2021
Immanuel Quickley,G,11.31,3.53,3.17,0.69,0.04,23.0,2022
Immanuel Quickley,G,14.93,3.44,4.16,0.99,0.17,24.0,2023
Immanuel Quickley,G,15.0,2.47,2.57,0.53,0.1,25.0,2024
