player,pos,PTS,AST,REB,STL,BLK,TOV,AST_TO,STOCKS,FIC,age,year
Precious Achiuwa,F,4.98,0.48,3.41,0.33,0.46,0.7,0.6857142857142857,0.79,8.96,21.0,2021
Precious Achiuwa,F,9.1,1.12,6.48,0.51,0.56,1.15,0.973913043478261,1.07,16.62,22.0,2022
Precious Achiuwa,F,9.24,0.91,5.96,0.56,0.55,1.07,0.8504672897196262,1.11,16.15,23.0,2023
Precious Achiuwa,F,7.72,1.76,5.44,0.64,0.48,1.16,1.517241379310345,1.12,14.88,24.0,2024
Precious Achiuwa,F,7.59,1.08,7.16,0.61,1.14,1.1,0.9818181818181818,1.75,16.48,24.0,2024
Precious Achiuwa,F,7.64,1.31,6.58,0.62,0.92,1.12,1.169642857142857,1.54,15.95,24.0,2024
Steven Adams,C,7.67,0.94,7.47,0.54,1.23,1.41,0.6666666666666666,1.77,16.44,21.0,2015
Steven Adams,C,7.95,0.78,6.66,0.52,1.11,1.05,0.7428571428571429,1.63,15.97,22.0,2016
Steven Adams,C,11.31,1.08,7.66,1.11,0.98,1.82,0.5934065934065934,2.09,20.32,23.0,2017
Steven Adams,C,13.89,1.16,9.01,1.21,1.03,1.68,0.6904761904761905,2.24,24.62,24.0,2018
Steven Adams,C,13.85,1.55,9.5,1.46,0.95,1.69,0.9171597633136095,2.41,25.62,25.0,2019
Steven Adams,C,10.86,2.32,9.25,0.81,1.06,1.49,1.5570469798657718,1.87,22.81,26.0,2020
Steven Adams,C,7.55,1.91,8.86,0.93,0.66,1.34,1.425373134328358,1.59,18.57,27.0,2021
Steven Adams,C,6.95,3.37,10.0,0.86,0.79,1.51,2.2317880794701987,1.65,20.46,28.0,2022
Steven Adams,C,8.6,2.31,11.55,0.86,1.1,1.88,1.2287234042553192,1.96,22.54,29.0,2023
Bam Adebayo,C,6.91,1.46,5.52,0.46,0.59,0.96,1.5208333333333333,1.05,13.98,20.0,2018
Bam Adebayo,C,8.89,2.24,7.28,0.87,0.79,1.48,1.5135135135135136,1.66,18.59,21.0,2019
Bam Adebayo,C,15.92,5.11,10.21,1.14,1.29,2.83,1.80565371024735,2.43,30.84,22.0,2020
Bam Adebayo,C,18.7,5.41,8.95,1.17,1.03,2.64,2.0492424242424243,2.2,32.62,23.0,2021
Bam Adebayo,C,19.07,3.39,10.07,1.43,0.79,2.64,1.2840909090909092,2.22,32.11,24.0,2022
Bam Adebayo,C,20.39,3.2,9.17,1.17,0.81,2.49,1.285140562248996,1.98,32.25,25.0,2023
Bam Adebayo,C,19.25,3.92,10.38,1.14,0.93,2.28,1.719298245614035,2.07,33.34,26.0,2024
Ochai Agbaji,G,7.92,1.14,2.05,0.27,0.25,0.69,1.6521739130434783,0.52,10.94,23.0,2023
Ochai Agbaji,G,5.37,0.92,2.47,0.53,0.57,0.67,1.373134328358209,1.1,9.19,24.0,2024
Ochai Agbaji,G,6.7,1.33,3.33,0.74,0.56,1.11,1.1981981981981982,1.3,11.55,24.0,2024
Ochai Agbaji,G,5.83,1.06,2.77,0.6,0.56,0.82,1.2926829268292683,1.16,10.0,24.0,2024
Santi Aldama,F,4.12,0.66,2.72,0.19,0.31,0.5,1.32,0.5,7.5,21.0,2022
Santi Aldama,F,9.04,1.26,4.82,0.58,0.62,0.78,1.6153846153846154,1.2,15.54,22.0,2023
Santi Aldama,F,10.72,2.26,5.77,0.7,0.89,1.13,2.0,1.59,19.21,23.0,2024
Nickeil Alexander-Walker,G,5.68,1.89,1.79,0.36,0.17,1.15,1.6434782608695653,0.53,8.74,21.0,2020
Nickeil Alexander-Walker,G,11.04,2.22,3.13,1.02,0.48,1.5,1.4800000000000002,1.5,16.39,22.0,2021
Nickeil Alexander-Walker,G,12.78,2.78,3.28,0.82,0.38,1.7,1.6352941176470588,1.2,18.34,23.0,2022
Nickeil Alexander-Walker,G,3.53,1.13,1.53,0.33,0.27,0.53,2.132075471698113,0.6,6.26,23.0,2022
Nickeil Alexander-Walker,G,10.65,2.4,2.88,0.71,0.35,1.43,1.6783216783216783,1.06,15.56,23.0,2022
Nickeil Alexander-Walker,G,6.33,2.11,1.64,0.67,0.39,1.25,1.688,1.06,9.89,24.0,2023
