player,pos,PTS,AST,REB,STL,BLK,TOV,AST_TO,STOCKS,FIC,age,year
Sam Hauser,F,2.5,0.38,1.12,0.04,0.08,0.08,4.75,0.12,4.04,24.0,2022
Sam Hauser,F,6.4,0.89,2.55,0.36,0.26,0.38,2.3421052631578947,0.62,10.08,25.0,2023
Sam Hauser,F,9.01,1.04,3.49,0.51,0.32,0.41,2.5365853658536586,0.83,13.96,26.0,2024
Jordan Hawkins,G,7.82,1.04,2.21,0.28,0.1,0.6,1.7333333333333334,0.38,10.85,22.0,2024
Jaxson Hayes,C,7.38,0.88,4.05,0.41,0.86,0.83,1.0602409638554218,1.27,12.75,20.0,2020
Jaxson Hayes,C,7.48,0.58,4.28,0.42,0.63,0.65,0.8923076923076922,1.05,12.74,21.0,2021
Jaxson Hayes,C,9.34,0.61,4.5,0.47,0.79,0.77,0.7922077922077921,1.26,14.94,22.0,2022
Jaxson Hayes,C,4.96,0.72,2.81,0.43,0.4,0.66,1.0909090909090908,0.83,8.66,23.0,2023
Jaxson Hayes,C,4.33,0.47,3.01,0.49,0.41,0.61,0.7704918032786885,0.9,8.1,24.0,2024
Killian Hayes,G,6.77,5.31,2.65,1.04,0.38,3.19,1.664576802507837,1.42,12.96,19.0,2021
Killian Hayes,G,6.86,4.2,3.18,1.18,0.53,1.68,2.5,1.71,14.27,20.0,2022
Killian Hayes,G,10.34,6.18,2.91,1.37,0.37,2.28,2.710526315789474,1.74,18.89,21.0,2023
Killian Hayes,G,6.88,4.88,2.83,0.86,0.48,1.21,4.033057851239669,1.34,14.72,22.0,2024
Scoot Henderson,G,14.0,5.42,3.13,0.77,0.21,3.42,1.5847953216374269,0.98,20.11,20.0,2024
Taylor Hendricks,F,7.3,0.8,4.62,0.7,0.75,0.68,1.1764705882352942,1.45,13.49,20.0,2024
Tyler Herro,G,13.51,2.2,4.07,0.62,0.16,1.58,1.3924050632911393,0.78,18.98,20.0,2020
Tyler Herro,G,15.09,3.41,4.96,0.65,0.31,1.87,1.8235294117647058,0.96,22.55,21.0,2021
Tyler Herro,G,20.71,3.98,4.98,0.67,0.12,2.64,1.5075757575757576,0.79,27.82,22.0,2022
Tyler Herro,G,20.1,4.18,5.37,0.76,0.24,2.36,1.771186440677966,1.0,28.29,23.0,2023
Tyler Herro,G,20.83,4.48,5.29,0.71,0.07,2.21,2.0271493212669687,0.78,29.17,24.0,2024
Buddy Hield,G,8.56,1.35,2.91,0.32,0.12,0.84,1.6071428571428572,0.44,12.42,24.0,2017
Buddy Hield,G,15.12,1.76,4.12,0.8,0.08,2.12,0.830188679245283,0.88,19.76,24.0,2017
Buddy Hield,G,10.56,1.48,3.28,0.46,0.11,1.23,1.2032520325203253,0.57,14.66,24.0,2017
Buddy Hield,G,13.49,1.94,3.84,1.06,0.28,1.55,1.2516129032258063,1.34,19.06,25.0,2018
Buddy Hield,G,20.67,2.5,5.02,0.71,0.4,1.78,1.4044943820224718,1.11,27.52,26.0,2019
Buddy Hield,G,19.19,2.96,4.56,0.92,0.24,2.33,1.2703862660944205,1.16,25.54,27.0,2020
Buddy Hield,G,16.56,3.62,4.7,0.89,0.42,1.83,1.9781420765027322,1.31,24.36,28.0,2021
Buddy Hield,G,14.4,1.91,4.02,0.87,0.27,1.64,1.1646341463414633,1.14,19.83,29.0,2022
Buddy Hield,G,18.19,4.77,5.08,0.96,0.38,2.42,1.9710743801652892,1.34,26.96,29.0,2022
Buddy Hield,G,15.62,2.83,4.36,0.9,0.31,1.89,1.4973544973544974,1.21,22.13,29.0,2022
Buddy Hield,G,16.8,2.81,5.0,1.15,0.32,1.74,1.6149425287356323,1.47,24.34,30.0,2023
Buddy Hield,G,11.98,2.67,3.21,0.83,0.6,1.19,2.2436974789915967,1.43,18.1,31.0,2024
Buddy Hield,G,12.19,3.03,3.19,0.84,0.34,1.28,2.3671875,1.18,18.31,31.0,2024
Buddy Hield,G,12.06,2.81,3.2,0.83,0.5,1.23,2.2845528455284554,1.33,18.17,31.0,2024
Haywood Highsmith,F,1.8,0.4,1.0,0.2,0.0,0.2,2.0,0.2,3.2,22.0,2019
Haywood Highsmith,F,2.26,0.32,1.37,0.11,0.16,0.16,2.0,0.27,4.06,25.0,2022
Haywood Highsmith,F,4.37,0.8,3.48,0.67,0.31,0.83,0.9638554216867471,0.98,8.8,26.0,2023
Haywood Highsmith,F,6.14,1.06,3.18,0.8,0.45,0.52,2.0384615384615383,1.25,11.11,27.0,2024
Aaron Holiday,G,5.88,1.74,1.34,0.42,0.26,0.8,2.175,0.68,8.84,22.0,2019
Aaron Holiday,G,9.5,3.41,2.36,0.83,0.24,1.33,2.56390977443609,1.07,15.01,23.0,2020
Aaron Holiday,G,7.2,1.86,1.35,0.7,0.2,1.0,1.86,0.9,10.31,24.0,2021
Aaron Holiday,G,6.12,1.9,1.63,0.59,0.22,0.95,2.0,0.81,9.51,25.0,2022
Aaron Holiday,G,6.77,3.41,2.5,0.82,0.0,1.27,2.6850393700787403,0.82,12.23,25.0,2022
Aaron Holiday,G,6.35,2.43,1.94,0.67,0.14,1.06,2.292452830188679,0.81,10.47,25.0,2022
Aaron Holiday,G,3.92,1.41,1.17,0.59,0.19,0.57,2.473684210526316,0.78,6.71,26.0,2023
Aaron Holiday,G,6.59,1.79,1.58,0.54,0.08,0.68,2.6323529411764706,0.62,9.9,27.0,2024
Jrue Holiday,G,14.8,6.85,3.38,1.58,0.57,2.28,3.004385964912281,2.15,24.9,25.0,2015
Jrue Holiday,G,16.75,6.02,3.0,1.35,0.34,2.57,2.342412451361868,1.69,24.89,26.0,2016
Jrue Holiday,G,15.36,7.28,3.94,1.49,0.66,2.9,2.510344827586207,2.15,25.83,27.0,2017
Jrue Holiday,G,18.98,6.0,4.51,1.52,0.79,2.63,2.2813688212927756,2.31,29.17,28.0,2018
Jrue Holiday,G,21.19,7.73,4.99,1.63,0.81,3.13,2.46964856230032,2.44,33.22,29.0,2019
Jrue Holiday,G,19.13,6.69,4.8,1.62,0.79,3.02,2.2152317880794703,2.41,30.01,30.0,2020
Jrue Holiday,G,17.73,6.05,4.54,1.63,0.63,2.15,2.813953488372093,2.26,28.43,31.0,2021
Jrue Holiday,G,18.28,6.82,4.49,1.61,0.43,2.73,2.498168498168498,2.04,28.9,32.0,2022
Jrue Holiday,G,19.25,7.39,5.09,1.18,0.37,2.94,2.5136054421768708,1.55,30.34,33.0,2023
Jrue Holiday,G,12.46,4.83,5.41,0.88,0.77,1.8,2.683333333333333,1.65,22.55,34.0,2024
Richaun Holmes,F,5.63,0.65,2.65,0.37,0.78,0.63,1.0317460317460319,1.15,9.45,22.0,2016
Richaun Holmes,F,9.81,1.02,5.46,0.74,0.96,0.96,1.0625,1.7,17.03,23.0,2017
Richaun Holmes,F,6.48,1.27,4.4,0.42,0.6,0.52,2.442307692307692,1.02,12.65,24.0,2018
Richaun Holmes,F,8.17,0.86,4.73,0.6,1.13,0.74,1.162162162162162,1.73,14.75,25.0,2019
Richaun Holmes,F,12.25,0.95,8.14,0.93,1.27,1.18,0.8050847457627118,2.2,22.36,26.0,2020
Richaun Holmes,F,14.25,1.66,8.26,0.64,1.57,1.23,1.3495934959349594,2.21,25.15,27.0,2021
Richaun Holmes,F,10.4,1.07,7.04,0.38,0.91,1.24,0.8629032258064516,1.29,18.56,28.0,2022
Richaun Holmes,F,3.1,0.21,1.9,0.07,0.26,0.33,0.6363636363636364,0.33,5.21,29.0,2023
Richaun Holmes,F,3.39,0.65,3.39,0.13,0.39,0.52,1.25,0.52,7.43,30.0,2024
Richaun Holmes,F,7.12,0.59,6.12,0.47,0.59,0.71,0.8309859154929577,1.06,14.18,30.0,2024
Richaun Holmes,F,4.97,0.62,4.55,0.28,0.48,0.6,1.0333333333333334,0.76,10.3,30.0,2024
Chet Holmgren,C,16.55,2.44,7.9,0.65,2.32,1.6,1.525,2.97,28.26,22.0,2024
Jalen Hood-Schifino,G,1.62,0.38,0.62,0.14,0.1,0.43,0.8837209302325582,0.24,2.43,21.0,2024
Al Horford,C,15.21,3.21,7.16,0.89,1.29,1.32,2.4318181818181817,2.18,26.44,29.0,2015
Al Horford,C,15.23,3.21,7.27,0.83,1.48,1.3,2.4692307692307693,2.31,26.72,30.0,2016
Al Horford,C,14.0,4.96,6.84,0.76,1.26,1.69,2.93491124260355,2.02,26.13,31.0,2017
Al Horford,C,12.88,4.71,7.38,0.6,1.08,1.83,2.5737704918032787,1.68,24.82,32.0,2018
Al Horford,C,13.6,4.16,6.74,0.87,1.26,1.5,2.7733333333333334,2.13,25.13,33.0,2019
Al Horford,C,11.91,4.03,6.81,0.78,0.91,1.19,3.38655462184874,1.69,23.25,34.0,2020
Al Horford,C,14.21,3.36,6.71,0.89,0.93,1.04,3.2307692307692304,1.82,25.06,35.0,2021
